Date,Not indexed,Indexed,Impressions
2026-03-31,,,148
2026-04-01,,,90
2026-04-02,,,316
2026-04-03,179,20,93
2026-04-04,177,19,52
2026-04-05,177,19,95
2026-04-06,172,18,306
2026-04-07,172,18,181
2026-04-08,172,18,99
2026-04-09,172,18,246
2026-04-10,169,25,60
2026-04-11,169,25,72
2026-04-12,169,25,171
2026-04-13,162,27,299
2026-04-14,162,27,225
2026-04-15,162,27,266
2026-04-16,162,27,257
2026-04-17,159,32,198
2026-04-18,159,32,179
2026-04-19,159,32,313
2026-04-20,160,31,220
2026-04-21,160,31,276
2026-04-22,160,31,203
2026-04-23,160,31,307
2026-04-24,162,29,174
2026-04-25,162,29,125
2026-04-26,162,29,176
2026-04-27,162,29,290
2026-04-28,162,29,226
2026-04-29,162,29,244
2026-04-30,162,29,347
2026-05-01,156,29,149
2026-05-02,156,29,132
2026-05-03,156,29,447
2026-05-04,157,29,273
2026-05-05,157,29,201
2026-05-06,157,29,156
2026-05-07,157,29,365
2026-05-08,153,29,149
2026-05-09,153,29,201
2026-05-10,153,29,304
2026-05-11,152,30,304
2026-05-12,152,30,180
2026-05-13,152,30,315
2026-05-14,152,30,321
2026-05-15,149,31,288
2026-05-16,149,31,224
2026-05-17,149,31,217
2026-05-18,155,44,344
2026-05-19,155,44,184
2026-05-20,155,44,126
2026-05-21,155,44,257
2026-05-22,154,44,191
2026-05-23,154,44,195
2026-05-24,154,44,151
2026-05-25,158,46,264
2026-05-26,158,46,219
2026-05-27,158,46,185
2026-05-28,158,46,323
2026-05-29,161,41,235
2026-05-30,161,41,305
2026-05-31,161,41,237
2026-06-01,157,41,238
2026-06-02,157,41,393
2026-06-03,157,41,380
2026-06-04,157,41,317
2026-06-05,159,40,232
2026-06-06,159,40,203
2026-06-07,159,40,355
2026-06-08,158,40,190
2026-06-09,158,40,220
2026-06-10,158,40,191
2026-06-11,158,40,290
