Old URL,Action,Target URL,Reason,Priority
https://pathfinderpestcontrol.com/,Keep,https://pathfinderpestcontrol.com/,Primary homepage,P1
https://pathfinderpestcontrol.com/,Keep (dedupe sitemap),https://pathfinderpestcontrol.com/,Duplicate URL entry in sitemap,P1
https://pathfinderpestcontrol.com/contact-us/,Keep,https://pathfinderpestcontrol.com/contact-us/,Core conversion page,P1
https://pathfinderpestcontrol.com/new-articles/,Keep,https://pathfinderpestcontrol.com/new-articles/,Blog hub,P1
https://pathfinderpestcontrol.com/moles-voles-removal/,Keep,https://pathfinderpestcontrol.com/moles-voles-removal/,Commercial service intent,P1
https://pathfinderpestcontrol.com/gopher-removal/,Keep,https://pathfinderpestcontrol.com/gopher-removal/,Commercial service intent,P1
https://pathfinderpestcontrol.com/service/flea-control/,Keep,https://pathfinderpestcontrol.com/service/flea-control/,Core service page,P1
https://pathfinderpestcontrol.com/service/fumigation-services/,Keep,https://pathfinderpestcontrol.com/service/fumigation-services/,Core service page,P1
https://pathfinderpestcontrol.com/service/home-pest-inspection/,Keep,https://pathfinderpestcontrol.com/service/home-pest-inspection/,Core service page,P1
https://pathfinderpestcontrol.com/service/mosquito-control/,Keep,https://pathfinderpestcontrol.com/service/mosquito-control/,Core service page,P1
https://pathfinderpestcontrol.com/service/spider-exterminator/,Keep,https://pathfinderpestcontrol.com/service/spider-exterminator/,Core service page,P1
https://pathfinderpestcontrol.com/service/termite-treatment/,Keep,https://pathfinderpestcontrol.com/service/termite-treatment/,Core service page,P1
https://pathfinderpestcontrol.com/service/wasp-hornet-elimination/,Keep,https://pathfinderpestcontrol.com/service/wasp-hornet-elimination/,Core service page,P1
https://pathfinderpestcontrol.com/service/wildlife-removal/,Keep,https://pathfinderpestcontrol.com/service/wildlife-removal/,Core service page,P1
https://pathfinderpestcontrol.com/service/rodent-control/,Keep,https://pathfinderpestcontrol.com/service/rodent-control/,Core service page,P1
https://pathfinderpestcontrol.com/service/commercial-pest-control/,Keep,https://pathfinderpestcontrol.com/service/commercial-pest-control/,Core service page,P1
https://pathfinderpestcontrol.com/service/cockroach-extermination/,Keep,https://pathfinderpestcontrol.com/service/cockroach-extermination/,Core service page,P1
https://pathfinderpestcontrol.com/service/bed-bug-removal/,Keep,https://pathfinderpestcontrol.com/service/bed-bug-removal/,Core service page,P1
https://pathfinderpestcontrol.com/bed-bug-inspection/,Merge,https://pathfinderpestcontrol.com/bed-bug-inspection-2/,Duplicate intent with stronger long-form variant,P1
https://pathfinderpestcontrol.com/bed-bug-inspection-2/,Keep (canonical),https://pathfinderpestcontrol.com/bed-bug-inspection-2/,Canonical for this intent,P1
https://pathfinderpestcontrol.com/what-is-ipm-integrated-pest-management-explained/,Merge,https://pathfinderpestcontrol.com/integrated-pest-management-benefits/,Overlapping IPM topic cluster,P1
https://pathfinderpestcontrol.com/termite-treatment-cost/,Keep,https://pathfinderpestcontrol.com/termite-treatment-cost/,High commercial informational intent,P1
https://pathfinderpestcontrol.com/sap/jenks/,Merge,https://pathfinderpestcontrol.com/jenks-pest-control/,Convert SAP utility into real location page,P1
https://pathfinderpestcontrol.com/sap/broken-arrow/,Merge,https://pathfinderpestcontrol.com/broken-arrow-pest-control/,Convert SAP utility into real location page,P1
https://pathfinderpestcontrol.com/sap/glenpool/,Merge,https://pathfinderpestcontrol.com/glenpool-pest-control/,Convert SAP utility into real location page,P1
https://pathfinderpestcontrol.com/sap/catoosa/,Merge,https://pathfinderpestcontrol.com/catoosa-pest-control/,Convert SAP utility into real location page,P1
